Date,Fare,Fuel,Fare_Change,Fare_OLS_Pred
2016-10-31,92.6,46.2,-0.07400000000000007,99.76661743913084
2016-11-30,80.2,47.95,-0.13390928725701934,99.39506404369793
2016-12-31,119.4,54.96,0.48877805486284287,97.9067272997067
2017-01-31,76.4,55.25,-0.3601340033500837,97.84515559417783
2017-02-28,80.9,53.36,0.05890052356020936,98.24643326124536
2017-03-31,77.8,52.2,-0.038318912237330194,98.49272008336088
2017-04-30,92.3,49.46,0.18637532133676094,99.07446654249583
2017-05-31,86.4,49.4,-0.06392199349945815,99.08720551605353
2017-06-30,98.9,47.08,0.14467592592592582,99.57977916028457
2017-07-31,116.5,51.99,0.1779575328614762,98.53730649081282
2017-08-31,129.3,52.69,0.10987124463519327,98.38868513263967
2017-09-30,94.8,57.02,-0.2668213457076567,97.46935587422568
2017-10-31,90.3,61.35,-0.04746835443037978,96.5500266158117
2017-11-30,80.9,63.53,-0.1040974529346621,96.0871772432153
2017-12-31,123.7,66.73,0.5290482076637824,95.40776532013798
2018-01-31,82.6,67.78,-0.3322554567502022,95.18483328287823
2018-02-28,87.0,66.08,0.053268765133172025,95.54577086701306
2018-03-31,85.2,69.02,-0.020689655172413723,94.92156116268578
2018-04-30,85.0,75.92,-0.0023474178403756207,93.45657920355033
2018-05-31,93.5,76.45,0.10000000000000009,93.34405160379066
2018-06-30,101.1,77.44,0.08128342245989306,93.13385854008861
2018-07-31,121.4,74.16,0.20079129574678545,93.83025576124285
2018-08-31,137.8,76.94,0.1350906095551896,93.24001665306945
2018-09-30,100.1,82.72,-0.2735849056603774,92.01282886701105
2018-10-31,95.1,74.84,-0.049950049950049924,93.68588072758892
2018-11-30,83.6,57.71,-0.12092534174553105,97.32285767831215
2018-12-31,116.7,50.57,0.39593301435406714,98.83879553167839
2019-01-31,87.0,62.46,-0.25449871465295637,96.31435560499426
2019-02-28,93.7,65.03,0.07701149425287368,95.7687029042728
2019-03-31,88.4,67.93,-0.056563500533617916,95.15298584898399
2019-04-30,111.7,72.19,0.2635746606334841,94.24851872638732
2019-05-31,105.9,66.78,-0.05192479856759169,95.3971495088399
2019-06-30,110.7,67.52,0.04532577903682711,95.24003550162827
2019-07-31,124.0,64.07,0.12014453477868114,95.972526481196
2019-08-31,151.7,61.04,0.22338709677419355,96.61584464585982
2019-09-30,101.7,60.99,-0.3295978905735003,96.6264604571579
2019-10-31,100.5,59.3,-0.01179941002949858,96.98527487903311
2019-11-30,92.3,64.5,-0.08159203980099505,95.88123050403249
2019-12-31,106.9,67.77,0.15817984832069354,95.18695644513785
2020-01-31,87.8,57.77,-0.17867165575304034,97.31011870475444
2020-02-29,92.4,51.31,0.05239179954441919,98.68168152446675
2020-03-31,97.3,14.85,0.05303030303030298,106.42273112302884
2020-04-30,112.3,18.11,0.15416238437821161,105.73058022639384
2020-05-31,106.0,34.15,-0.056099732858414963,102.32502796196883
2020-06-30,111.2,41.64,0.049056603773584895,100.734779429516
2020-07-31,121.6,43.13,0.09352517985611497,100.41842825283312
2020-08-31,120.4,45.22,-0.009868421052631526,99.97468734057327
2020-09-30,97.2,40.3,-0.19269102990033227,101.01928317230463
2020-10-31,96.8,36.33,-0.004115226337448652,101.8621785893724
2020-11-30,92.4,46.84,-0.045454545454545414,99.63073505451537
